poll_id,pollster,commissioner,fieldwork_start,fieldwork_end,publication_date,sample_size,effective_sample_size,method,geography,population,vote_base,undecided_treatment,one_nation_prompted,questionnaire_regime,leader_regime,source_tier,verification_status,model_eligible,source_url,notes,sample_family,source_document_title
redbridge_accent_2025-12,RedBridge / Accent Research,,2025-11-24,2025-12-08,2025-12-09,1021,783.0,online panel; rim weighted,Victoria,Victorian voters aged 18+,decided_reallocated,leaner then unresolved excluded (10%),False,legacy_other_bucket,Allan-Wilson,primary_pollster,verified,False,https://www.accent-research.com/projects/the-redbridge-group-and-accent-research-victorian-state-poll,Retained principally to mark the questionnaire regime before One Nation became an explicit response option. Not pooled as a directly comparable 2026 ONP observation.,,
demosau_2026-02,DemosAU,PremierNational,2026-02-01,2026-02-10,2026-02-14,1274,,pollster report,Victoria,Victorian voters,decided_reallocated,published vote intention sums to 100,True,explicit_multi_party,Allan-Wilson,primary_pollster,verified,True,https://demosau.com/news/one-nation-surge-hits-victoria/,,,
roy_morgan_2026-02,Roy Morgan,,2026-02-13,2026-02-16,2026-02-19,2462,,special SMS survey,Victoria,Victorian electors,decided_reallocated,published first-preference shares sum to 100,True,explicit_multi_party,Allan-Wilson,primary_pollster,verified,True,https://www.roymorgan.com/findings/10133-victorian-state-voting-intention-february-2026,,,
freshwater_2026-02,Freshwater Strategy,Herald Sun,2026-02-19,2026-02-23,2026-03-04,1030,,"online panel; weighted to Victorian voter age-sex, education, 2022 state vote, 2025 federal vote and location; leaners included and unresolved undecideds removed",Victoria,Victorian voters,decided_reallocated,leaners included; unresolved undecideds excluded,True,explicit_multi_party,Allan-Wilson,primary_publisher,verified,True,https://freshwaterstrategy.com/2026/03/11/herald-sun-freshwater-strategy-february-polling-data/,Human-reviewed primary workbook; SHA-256 5080ec635a09d9047110b378ce72da130c5aad796ec4b45a23aec6727e8953dd. Exact five-way values retained.,,Freshwater Strategy 2026-02 Victorian polling workbook
redbridge_accent_2026-02,RedBridge / Accent Research,Australian Financial Review,2026-02-18,2026-02-27,2026-03-04,2165,1741.0,online panel; quotas and rim weighting,Victoria,Victorian voters aged 18+,decided_reallocated,published vote intention excludes unresolved/undecided respondents,True,explicit_multi_party,Allan-Wilson,primary_pollster,partially_verified,True,https://www.accent-research.com/projects/afr%2C-redbridge-group-and-accent-research-victorian-public-opinion-snapshot,Methodology is first-party. Full five-category top line is corroborated by contemporaneous reporting; retain the source trail rather than treating Dec-to-Feb ONP movement as directly comparable.,,
freshwater_2026-03,Freshwater Strategy,Herald Sun,2026-03-19,2026-03-23,2026-03-24,1062,,"online panel; weighted to Victorian voter age-sex, education, 2022 state vote, 2025 federal vote and location; leaners included and unresolved undecideds removed",Victoria,Victorian voters,decided_reallocated,leaners included; unresolved undecideds excluded,True,explicit_multi_party,Allan-Wilson,primary_publisher,verified,True,https://freshwaterstrategy.com/2026/04/02/herald-sun-freshwater-strategy-march-polling-data/,Human-reviewed primary workbook; SHA-256 f3329619a0632b81c81a99d476722be7b219f37efd62f1667f224ab079ff66e9. Exact five-way values retained.,,Freshwater Strategy 2026-03 Victorian polling workbook
roy_morgan_2026-04,Roy Morgan,,2026-04-22,2026-04-24,2026-04-27,1707,,special SMS survey,Victoria,Victorian electors,decided_reallocated,published first-preference shares sum to 100,True,explicit_multi_party,Allan-Wilson,primary_pollster,verified,True,https://www.roymorgan.com/findings/10203-victorian-state-voting-intention-april-2026,,,
freshwater_2026-06,Freshwater Strategy,Herald Sun,2026-06-05,2026-06-08,2026-06-08,1034,,pollster report,Victoria,Victorian voters,decided_reallocated,published primary shares sum to 100,True,explicit_multi_party,Allan-Wilson,primary_publisher,verified,True,https://freshwaterstrategy.com/category/insights/,Pollster hosts the full report; top-line values also independently reported by Poll Bludger/Conversation syndication.,,
demosau_2026-06,DemosAU,PremierNational,2026-06-07,2026-06-11,2026-06-12,1056,654.0,DemosAU / Ace Strategies state poll,Victoria,Victorian voters,decided_reallocated,published primary shares sum to 100,True,explicit_multi_party,Allan-Wilson,primary_pollster,verified,True,https://acestrategies.au/news/,"Ace Strategies/DemosAU first-party publication reports full primary composition, sample and effective sample.",,
redbridge_accent_2026-06_large,RedBridge / Accent Research,Australian Financial Review,2026-06-17,2026-06-28,2026-07-02,5516,,large-sample Victorian survey / reported MRP-related research,Victoria,Victorian voters,decided_reallocated,published primary shares sum to 100,True,explicit_multi_party,Allan-Wilson,reputable_secondary,partially_verified,True,https://www.tallyroom.com.au/65163,Do not create a second independent poll from the leaked Victorian Trades Hall MRP unless sample independence is demonstrated.,redbridge_accent_vic_june_2026,
